2021-08-20 09:12:20.409 INFO  user_id c37502e1-f32a-41cc-b243-3e93154c62fd put bet, bet value 20 
2021-08-20 09:12:34.879 INFO  user_id 17464def-cb2f-4542-9037-949b0b7bd9ea put bet, bet value 0 
2021-08-20 09:35:10.548 INFO  user_id c37502e1-f32a-41cc-b243-3e93154c62fd put bet, bet value 20 
2021-08-20 09:43:43.348 INFO  user_id c37502e1-f32a-41cc-b243-3e93154c62fd put bet, bet value 0 
2021-08-20 09:45:45.465 INFO  user_id c37502e1-f32a-41cc-b243-3e93154c62fd put bet, bet value 0 
2021-08-20 09:46:14.509 INFO  user_id c37502e1-f32a-41cc-b243-3e93154c62fd put bet, bet value 0 
2021-08-20 12:47:22.704 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 0 
2021-08-20 12:49:21.673 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-20 13:12:37.572 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-20 13:12:56.644 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 11:34:49.930 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 11:37:33.695 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 11:37:49.473 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 20 
2021-08-21 11:42:07.695 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 11:42:12.248 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 20 
2021-08-21 11:51:43.726 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 11:51:56.591 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
2021-08-21 11:53:47.935 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 11:54:07.713 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
2021-08-21 11:56:22.850 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 11:56:26.099 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
2021-08-21 12:01:01.603 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 12:01:05.601 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
2021-08-21 12:05:31.078 INFO  user_id 5646786b-ce3a-4722-91bb-c39fb9681878 put bet, bet value 10 
2021-08-21 12:05:32.734 INFO  user_id b0b29340-3519-47f1-b6b5-d1500016bb66 put bet, bet value 10 
